<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
21/09/18,113030,113040,112970,112980
21/09/18,112990,113030,112930,112940
21/09/18,112960,113290,112960,113100
21/09/18,113100,113170,113100,113120
21/09/18,113130,113150,113100,113110
21/09/18,113110,113170,113110,113170
21/09/18,113150,113210,113150,113170
21/09/18,113160,113220,113140,113160
21/09/18,113160,113160,113100,113110
21/09/18,113110,113110,113060,113110
21/09/18,113110,113120,113090,113120
21/09/18,113120,113150,113120,113130
21/09/18,113130,113170,113130,113130
21/09/18,113130,113150,113090,113140
21/09/18,113150,113160,113120,113130
21/09/18,113130,113150,113110,113130
21/09/18,113130,113180,113120,113170
21/09/18,113170,113200,113110,113120
21/09/18,113110,113120,113070,113080
21/09/18,113100,113100,113070,113090
21/09/18,113070,113090,113030,113090
21/09/18,113090,113120,113070,113090
21/09/18,113090,113120,113070,113070
21/09/18,113080,113090,113060,113080
21/09/18,113060,113070,113040,113060
21/09/18,113060,113060,113010,113050
21/09/18,113050,113080,113040,113060
21/09/18,113070,113090,113000,113010
21/09/18,113000,113020,112970,112990
21/09/18,112990,113010,112960,112970
21/09/18,112960,113070,112950,113000
21/09/18,112990,113010,112970,113000
21/09/18,113020,113050,113000,113020
21/09/18,113020,113040,112990,113040
21/09/18,113030,113040,112990,112990
21/09/18,112990,113010,112980,113010
21/09/18,113000,113010,112970,112970
21/09/18,112980,113000,112980,112990
21/09/18,112980,112990,112950,112970
21/09/18,112970,113040,112970,113040
21/09/18,113030,113060,113010,113030
21/09/18,113030,113060,113030,113050
21/09/18,113050,113060,113000,113040
21/09/18,113050,113050,113040,113040
21/09/18,113030,113030,112990,112990
21/09/18,113010,113050,113010,113040
21/09/18,113030,113030,113020,113020
21/09/18,113030,113080,113030,113070
21/09/18,113080,113080,113060,113080
21/09/18,113080,113080,113050,113050
21/09/18,113070,113100,113060,113100
21/09/18,113090,113100,113080,113100
21/09/18,113080,113090,113050,113050
21/09/18,113050,113060,113030,113030
21/09/18,113040,113050,113030,113050
21/09/18,113050,113080,113050,113080
21/09/18,113080,113110,113080,113100
21/09/18,113100,113100,113080,113090
21/09/18,113080,113090,113060,113070
